01 May 2023 - 30 April 2024,,,,,,,,,,,,,,,,,,,,,,,,,
Keyword,Currency,Segmentation,Avg. monthly searches,Three month change,YoY change,Competition,Competition (indexed value),Top of page bid (low range),Top of page bid (high range),Ad impression share,Organic average position,Organic impression share,In Account,Searches: May 2023,Searches: Jun 2023,Searches: Jul 2023,Searches: Aug 2023,Searches: Sep 2023,Searches: Oct 2023,Searches: Nov 2023,Searches: Dec 2023,Searches: Jan 2024,Searches: Feb 2024,Searches: Mar 2024,Searches: Apr 2024
,,All,231880,,,,,,,,,,,,,,,,,,,,,,
,,Australia,231880,,,,,,,,,,,,,,,,,,,,,,
beach cover ups,AUD,,6600,-19%,0%,High,98,0.35,1.69,,,,,4400,5400,6600,6600,8100,8100,8100,9900,9900,5400,5400,4400
black cocktail dresses,AUD,,6600,0%,0%,High,100,0.41,1.39,,,,,5400,5400,6600,8100,8100,9900,8100,3600,5400,5400,6600,5400
black designer dresses,AUD,,260,-19%,-19%,High,97,0.6,1.83,,,,,320,260,320,210,260,480,210,140,260,320,260,260
cocktail & formal styles,AUD,,,,,,,,,,,,,,,,,,,,,,,,
cocktail dresses,AUD,,74000,0%,22%,High,100,0.39,1.36,,,,,60500,60500,74000,90500,90500,110000,110000,49500,74000,74000,74000,74000
cotton midi dress,AUD,,880,-41%,23%,High,100,0.4,1.86,,,,,320,480,590,880,1300,1300,1300,1600,1000,1000,880,590
day dresses,AUD,,2900,-34%,0%,High,99,0.41,1.36,,,,,1600,1600,1900,2900,3600,4400,4400,3600,2900,2900,2900,1900
denim dresses,AUD,,40500,-18%,49%,High,100,0.5,1.76,,,,,22200,22200,33100,40500,49500,49500,49500,40500,40500,49500,49500,40500
designer beach dresses,AUD,,50,0%,0%,High,98,,,,,,,30,50,40,40,70,50,70,140,50,40,40,40
designer casual dresses for daywear,AUD,,10,0%,∞,Low,0,,,,,,,0,0,0,0,0,10,10,0,10,10,10,10
designer cocktail dresses,AUD,,590,-46%,-19%,High,100,0.33,1.4,,,,,590,720,590,590,880,720,720,390,590,720,480,390
designer cotton dress,AUD,,30,-60%,0%,High,100,1.28,2.32,,,,,30,10,10,20,10,30,40,30,30,50,30,20
designer dresses,AUD,,5400,-19%,0%,High,99,0.77,1.64,,,,,4400,3600,4400,5400,6600,6600,5400,4400,5400,5400,5400,4400
designer eveningwear,AUD,,880,14%,0%,High,100,0.32,1.71,,,,,1000,880,1000,1000,1000,1000,720,480,1000,880,880,1000
designer floor length dresses,AUD,,10,0%,0%,High,100,,,,,,,10,10,0,10,20,10,10,10,10,10,10,10
designer formal dresses,AUD,,720,0%,0%,High,100,0.3,1.23,,,,,880,590,720,880,720,720,480,320,590,720,880,720
designer knitted dresses,AUD,,110,320%,50%,High,92,0.56,1.64,,,,,210,170,170,90,90,90,90,40,90,50,170,210
designer linen dress,AUD,,140,-35%,0%,High,98,0.53,1.39,,,,,50,70,90,110,170,210,170,170,170,170,90,110
designer long sleeve dress,AUD,,390,175%,49%,High,99,0.41,1.43,,,,,720,480,480,320,320,210,170,170,260,320,590,880
designer midi dresses,AUD,,390,-33%,-18%,High,94,0.31,1.76,,,,,390,320,480,480,590,480,480,260,390,480,390,320
designer mini & midi party dress,AUD,,,,,,,,,,,,,,,,,,,,,,,,
designer mini dresses,AUD,,720,0%,85%,High,100,0.36,1.66,,,,,390,390,480,590,720,1300,880,590,1000,720,880,720
designer print dress,AUD,,10,-75%,0%,High,92,,,,,,,10,10,10,10,20,20,10,10,10,40,20,10
designer resort wear,AUD,,110,27%,27%,High,100,0.45,2.04,,,,,90,140,90,140,110,110,70,110,110,110,140,140
designer short denim dress,AUD,,10,∞,∞,Low,0,,,,,,,0,0,0,0,0,0,0,0,0,0,10,10
designer short sleeve dress,AUD,,20,0%,∞,High,100,,,,,,,10,0,20,10,30,50,30,10,30,10,10,10
designer silk dress,AUD,,110,-18%,29%,High,100,0.86,2.09,,,,,70,70,110,110,110,170,140,90,90,110,110,90
designer sleeveless dress,AUD,,10,∞,∞,Low,0,,,,,,,0,0,0,0,0,0,10,10,10,0,10,10
designer summer dresses,AUD,,320,-48%,-21%,High,100,0.43,1.43,,,,,260,210,260,260,390,480,590,390,320,210,110,110
designer wool dress,AUD,,10,0%,0%,High,100,,,,,,,20,10,0,10,10,10,10,10,10,10,10,10
evening dresses,AUD,,18100,0%,0%,High,99,0.34,1.45,,,,,18100,18100,22200,22200,22200,27100,18100,12100,18100,18100,18100,18100
floral & summer maxi dress,AUD,,,,,,,,,,,,,,,,,,,,,,,,
floral & summer midi dress,AUD,,,,,,,,,,,,,,,,,,,,,,,,
floral & summer mini dress,AUD,,,,,,,,,,,,,,,,,,,,,,,,
flowy maxi dresses,AUD,,2400,0%,85%,High,99,0.42,1.18,,,,,1600,1300,1900,2900,2900,3600,3600,2900,2400,2400,2400,2400
flowy midi dresses,AUD,,880,-18%,0%,High,100,0.49,1.5,,,,,590,590,720,1000,1300,1300,1300,1000,1000,880,880,720
flowy short dresses,AUD,,590,-46%,0%,High,100,0.45,1.73,,,,,390,480,480,480,720,880,880,720,590,590,390,320
formal white gowns,AUD,,6600,0%,0%,High,99,0.42,1.36,,,,,6600,5400,6600,8100,8100,8100,6600,3600,6600,6600,6600,6600
full length dress,AUD,,320,0%,22%,High,100,0.4,1.41,,,,,260,210,390,390,390,480,320,210,390,390,320,390
