Month,Spend,Keyword
1/1/2023,"$28,903 ",beach cover ups
1/1/2023,"$14,292 ",black cocktail dresses
1/1/2023,"$2,131 ",black designer dresses
1/1/2023,"$22,298 ",cocktail & formal styles
1/1/2023,"$24,056 ",cocktail dresses
1/1/2023,"$14,728 ",cotton midi dress
1/1/2023,"$23,238 ",day dresses
1/1/2023,"$23,829 ",denim dresses
1/1/2023,"$19,780 ",designer beach dresses
1/1/2023,"$7,023 ",designer casual dresses for daywear
1/1/2023,"$23,056 ",designer cocktail dresses
1/1/2023,"$7,534 ",designer cotton dress
1/1/2023,"$28,002 ",designer dresses
1/1/2023,"$21,695 ",designer eveningwear
1/1/2023,"$10,794 ",designer floor length dresses
1/1/2023,"$22,391 ",designer formal dresses
1/1/2023,"$12,227 ",designer knitted dresses
1/1/2023,$538 ,designer linen dress
1/1/2023,"$17,515 ",designer long sleeve dress
1/1/2023,"$28,458 ",designer midi dresses
1/1/2023,"$5,570 ",designer mini & midi party dress
1/1/2023,"$9,004 ",designer mini dresses
1/1/2023,"$16,611 ",designer print dress
1/1/2023,"$25,929 ",designer resort wear
1/1/2023,"$15,972 ",designer short denim dress
1/1/2023,"$11,033 ",designer short sleeve dress
1/1/2023,"$17,962 ",designer silk dress
1/1/2023,"$9,459 ",designer sleeveless dress
1/1/2023,"$29,126 ",designer summer dresses
1/1/2023,"$1,045 ",designer wool dress
1/1/2023,"$14,856 ",evening dresses
1/1/2023,"$13,811 ",floral & summer maxi dress
1/1/2023,$754 ,floral & summer midi dress
1/1/2023,"$18,859 ",floral & summer mini dress
1/1/2023,"$15,696 ",flowy maxi dresses
1/1/2023,"$28,471 ",flowy midi dresses
1/1/2023,"$2,073 ",flowy short dresses
1/1/2023,"$22,897 ",formal white gowns
1/1/2023,"$1,325 ",full length dress
1/1/2023,"$23,910 ",gowns & ball dresses
1/1/2023,"$25,314 ",implement canonical
1/1/2023,"$25,048 ",knit dresses
1/1/2023,"$23,655 ",linen midi dress
1/1/2023,"$10,630 ",long sleeve knitted dress
1/1/2023,"$10,221 ",long sleeve midi dress
1/1/2023,"$6,950 ",maxi cotton dress
1/1/2023,"$1,954 ",maxi linen dress
1/1/2023,"$24,042 ",maxi long sleeve dress
1/1/2023,"$27,388 ",maxi short sleeve dress
1/1/2023,"$2,371 ",maxi silk dress
1/1/2023,"$19,884 ",maxi sleeveless dress
1/1/2023,"$13,551 ",maxi wool dress
1/1/2023,"$20,145 ",mid length dresses
1/1/2023,"$13,660 ",party dresses
1/1/2023,"$8,920 ",patterned & floral dresses
1/1/2023,"$23,038 ",resort wear dresses
1/1/2023,"$13,609 ",resort wear evening dresses
1/1/2023,"$11,976 ",short dresses
1/1/2023,"$2,394 ",short sleeve knitted dress
1/1/2023,"$12,101 ",short sleeve midi dress
1/1/2023,"$27,198 ",silk midi dress
1/1/2023,"$21,222 ",sleeveless knitted dress
1/1/2023,"$18,828 ",sleeveless midi dress
1/1/2023,"$23,104 ",summer party dresses
1/1/2023,"$15,656 ",white designer dresses
1/1/2023,"$14,179 ",wool knitted dress
1/1/2023,"$3,678 ",wool midi dress
1/2/2023,"$18,153 ",beach cover ups
