Day of week,Month,Cost,Clicks,Impressions,Average position,Conversions,Revenue
Sunday,2018 - 01,"$84,639 ","228,634","12,729,044",0.61,"10,018","$1,107,942 "
Sunday,2018 - 02,"$107,146 ","269,232","13,903,035",0.66,"11,050","$1,285,373 "
Sunday,2018 - 03,"$82,010 ","200,754","8,040,719",0.52,"8,465","$1,061,019 "
Sunday,2018 - 04,"$102,805 ","291,265","12,934,313",0.46,"10,318","$1,291,631 "
Sunday,2018 - 05,"$105,597 ","261,224","11,796,888",0.5,"12,952","$1,628,222 "
Sunday,2018 - 06,"$126,465 ","307,005","15,545,043",0.69,"14,566","$1,929,909 "
Sunday,2018 - 07,"$125,057 ","373,055","19,261,608",0.7,"18,077","$2,470,743 "
Sunday,2018 - 08,"$94,370 ","306,688","14,608,839",0.45,"16,361","$2,258,199 "
Sunday,2018 - 09,"$132,208 ","381,877","16,850,105",0.34,"20,993","$2,792,029 "
Sunday,2018 - 10,"$130,437 ","372,629","16,881,815",0.26,"20,638","$2,713,242 "
Sunday,2018 - 11,"$193,877 ","460,386","22,594,142",0.2,"28,095","$3,817,722 "
Sunday,2018 - 12,"$180,133 ","488,445","23,458,744",0.22,"28,019","$3,400,815 "
Sunday,2019 - 01,"$101,562 ","353,987","16,461,279",0.23,"16,886","$2,055,032 "
Sunday,2019 - 02,"$136,481 ","412,006","19,843,851",0.19,"20,784","$2,583,251 "
Sunday,2019 - 03,"$151,835 ","497,169","24,025,280",0.16,"26,182","$3,198,991 "
Sunday,2019 - 04,"$122,265 ","381,157","19,444,583",0.21,"19,112","$2,321,566 "
Sunday,2019 - 05,"$67,688 ","204,273","10,667,580",0.22,"10,942","$1,357,609 "
Monday,2018 - 01,"$93,344 ","249,932","13,929,105",0.6,"11,170","$1,233,066 "
Monday,2018 - 02,"$96,173 ","231,168","12,007,365",0.67,"10,531","$1,242,371 "
Monday,2018 - 03,"$88,670 ","203,589","8,735,693",0.39,"8,952","$1,064,837 "
Monday,2018 - 04,"$103,170 ","278,947","12,547,788",0.41,"11,141","$1,363,514 "
Monday,2018 - 05,"$98,397 ","241,692","10,686,057",0.48,"12,722","$1,618,596 "
Monday,2018 - 06,"$123,359 ","289,151","14,906,955",0.67,"14,604","$1,880,069 "
Monday,2018 - 07,"$123,672 ","359,570","18,117,049",0.62,"18,508","$2,459,908 "
Monday,2018 - 08,"$87,637 ","275,562","12,919,790",0.42,"15,316","$2,048,789 "
Monday,2018 - 09,"$101,853 ","281,725","12,686,682",0.31,"16,412","$2,197,884 "
Monday,2018 - 10,"$157,175 ","427,562","19,723,334",0.24,"25,064","$3,303,640 "
