,Listing phrase,Category level 1,Category level 2,Type of NPS,Type of NPS new,Other name 1,Other name 2,Other name 3,Other name 4,Chemical name,Listing phrase length,listing phrase
654,"(1-Pentyl-1H-indazol-3-yl)(2,2,3,3-tetramethylcyclopropyl)methanone","(1-Pentyl-1H-indazol-3-yl)(2,2,3,3-tetramethylcyclopropyl)methanone",NPS,Cannabinoids,Cannabinoid,,,,,"2-(3-(aminomethyl)-5-methyl-4-H- 1,2,4-triazol-4-yl)-5-chlorophenyl)(phenyl)methanone ",,"(1-pentyl-1h-indazol-3-yl)(2,2,3,3-tetramethylcyclopropyl)methanone"
655,(1-pentyl-1H-indazol-3-yl)(piperazin-1-yl)methanone,(1-pentyl-1H-indazol-3-yl)(piperazin-1-yl)methanone,NPS,Cannabinoids,Cannabinoid,,,,,(1-pentyl-1H-indazol-3-yl)(piperazin-1-yl)methanone,,(1-pentyl-1h-indazol-3-yl)(piperazin-1-yl)methanone
656,(4-Methoxyphenyl)(4-methylpiperazine-1-yl)methanone,(4-Methoxyphenyl)(4-methylpiperazine-1-yl)methanone,NPS,,,,,,,(4-Methoxyphenyl)(4-methylpiperazine-1-yl)methanone,,(4-methoxyphenyl)(4-methylpiperazine-1-yl)methanone
658,(Iso)butyryl fentanyl,(Iso)butyryl fentanyl,NPS,Opioids,Sedative - opioid,(Iso)butyryfentanyl,,,,2-methyl-N-phenyl-N-[1-(1- phenylpropan-2-yl)piperidin-4-yl]propanamide,,(iso)butyryl fentanyl
659,(Iso)butyryl-F-fentanyl N-benzyl analogue,(Iso)butyryl-F-fentanyl N-benzyl analogue,NPS,Opioids,Sedative - opioid,,,,,N-(1- benzylpiperidin-4-yl)-N-(x-fluorophenyl)-butanamide),,(iso)butyryl-f-fentanyl n-benzyl analogue
657,"(±)-Dimethyl-1-[1-(4-chlorophenyl)cyclobutyl]-N,N,3-trimethylbutan-1-amine","(±)-Dimethyl-1-[1-(4-chlorophenyl)cyclobutyl]-N,N,3-trimethylbutan-1-amine",NPS,,,,,,,"(±)-Dimethyl-1-[1-(4-chlorophenyl)cyclobutyl]-N,N,3-trimethylbutan-1-amine",,"(±)-dimethyl-1-[1-(4-chlorophenyl)cyclobutyl]-n,n,3-trimethylbutan-1-amine"
670,"1,4-DMAA","1,4-DMAA",NPS,,Stimulant,,,,,"1,4-dimethylamylamine",,"1,4-dmaa"
660,"1-(1,3-diphenylpropan-2-yl)pyrrolidine","1-(1,3-diphenylpropan-2-yl)pyrrolidine",NPS,Piperidines & pyrrolidines,Stimulant,,,,,"1-(1,3-diphenylpropan-2-yl)pyrrolidine",,"1-(1,3-diphenylpropan-2-yl)pyrrolidine"
661,"1-(2,3,4-trimethoxybenzyl)piperazine","1-(2,3,4-trimethoxybenzyl)piperazine",NPS,Piperazine derivates,Stimulant,,,,,"1-(2,3,4-trimethoxybenzyl)piperazine",,"1-(2,3,4-trimethoxybenzyl)piperazine"
662,"1-(2,3-Dichlorophenyl)piperazine","1-(2,3-Dichlorophenyl)piperazine",NPS,,Stimulant,,,,,"1-(2,3-Dichlorophenyl)piperazine",,"1-(2,3-dichlorophenyl)piperazine"
663,"1-(2,3-dihydro-1H-inden-5-yl)-2-phenyl-2-(pyrrolidinyl-1-yl)ethan-1-one","1-(2,3-dihydro-1H-inden-5-yl)-2-phenyl-2-(pyrrolidinyl-1-yl)ethan-1-one",NPS,,,,,,,"1-(2,3-dihydro-1H-inden-5-yl)-2-phenyl-2-(pyrrolidinyl-1-yl)ethan-1-one",,"1-(2,3-dihydro-1h-inden-5-yl)-2-phenyl-2-(pyrrolidinyl-1-yl)ethan-1-one"
664,"1-(2,5-Dimethoxybenzyl)piperazine","1-(2,5-Dimethoxybenzyl)piperazine",NPS,Piperazine derivates,Stimulant,,,,,"1-(2,5-Dimethoxybenzyl)piperazine",,"1-(2,5-dimethoxybenzyl)piperazine"
666,1-(3-Methoxyphenyl)piperazine,1-(3-Methoxyphenyl)piperazine,NPS,Piperazine derivates,Stimulant,,,,,1-(3-Methoxyphenyl)piperazine,,1-(3-methoxyphenyl)piperazine
