key,value
x50 Percocet 10mg Pharma Grade Fent Free,['Percocet']
Pre-loaded vape pen with Insanely Perfect Heart-openning Chakra smokable ayahuasca,['ayahuasca']
"100mg Metta NMT, a beautiful vapable MDMA replacement. Heart Chakra opens for 1hr meditation.",['Metta NMT']
"Peyote mescaline microdose Liquid Vial 5g in 5mL, 75 drops. Buk Discounts",['Peyote mescaline']
1KG-EUTYLONE (KU) CYSTALS Analogue of MDMA (Shipping USA to USA),[]
DMT + NMT vape cart,['DMT']
DMT + NMT fumarate,['DMT']
DMT + NMT freebase,['DMT']
"ACACIA Changa Pre-rolls (DMT, NMT, MAOI)",['DMT']
NMT + DMT vape juice,['DMT']
RIPPED STACK Trenbolone Masterone testosterone 300mg/ml 10ml - Liniment Pharma,['Trenbolone']
"50 x Xanax gg249 3mg bars Bromazolam US-US (50 Pills, 100 Pills and 200 Pills)",[]
HGH Human Growth Hormone 45IU Norditropin,['Human Growth Hormone']
"ACACIA changa (DMT, NMT, MAOI)",[]
"ACACIA Pharmahuasca (DMT, NMT, MAOI)",[]
10ML MUSHROOM DROPS!! Synthetic Shrooms 4-AcO-DMT UK,['4-AcO-DMT']
HGH Omnitrope 72IU (24mg),['Omnitrope']
Brown Sugar MDMA,['MDMA']
Valaciclovir 500 mg VALTREX tablet x 90 pills,['Valaciclovir']
Valaciclovir 1 gm(1000 mg) VALTREX tablet x 90 pills,['Valaciclovir']
Amitriptyline 12.5+Chlordiazepoxide 5 mg LIMBITROL tablet x 100 pills,['Amitriptyline']
LSD Drug Testing Kit (+1 Fent Test Strip and +1 Testing Tray),['LSD']
MDMA Drug Testing Kit (+1 Fent Test Strip and +1 Testing Tray),['MDMA']
Psilocybin Drug Testing Kit (+1 Fent Test Strip and +1 Testing Tray),['Psilocybin']
Cocaine Drug Testing Kit (+2 Fent Test Strips and +1 Testing Tray),['Cocaine']
DMT Drug Testing Kit (+1 Fent Test Strip and +1 Testing Tray),['DMT']
Amphetamine (Adderall) Drug Testing Kit (+1 Fent Test Strips and +1 Testing Tray),['Amphetamine']
50x M523 10mg Percocet Oxycodone| Pharma Grade Fent Free,['Percocet']
PROMO 1.2 ANY STRAIN 2 X XANAX 1 X DIAZEPAM X 1,"['Xanax', 'Diazepam']"
DMT Vape Pen - 0.5ml,['DMT']
DMT Vape Pen - 1ml,['DMT']
x200 Oxycodone 30mg M30 Fent Free Pharma Grade,['Oxycodone']
25 Xanax X2 Bars 4mg NO FENT USA Domestic,['Xanax']
Tranxene Clorazepate Dipotassium 20mg x10 Sanofi Aventis,['Tranxene']
Wockhardt 16oz Pint 473ml Promethazine with Codeine Oral Solution - Quality Replica,['Codeine']
Polka Dot Mushroom Chocolate Bars  $18 Per - Bulk Rate,['Psilocybin']
☆Wizard's Staff ☆ 5-MeO-DMT Vape Cart ☆ Most Potent in Universe ☆ Jaguar DMT 5meodmt 5meo,['5-MeO-DMT']
FREE EXPRESS - EXTRA UNIT SALE ADDERALL V3.3alpha PHARMAGRADE 30mg IR RACEMIC SALT L-AMPHETAMINE,['Adderall']
Paracetamol & Codeine – 16 tb/530 mg – Abiogen – exp. 2027 (shipped from Spain),['Codeine']
pink 10mg Oxy fent free 100 pills USA ONLY,['Oxycodone']
50x Oxycodone M30 NON Fentanyl pills| Pharma Grade,['Oxycodone']
Ketamine Drug Testing Kit (+2 Fent Test Strips and +1 Testing Tray),[]
Pure fishscale cocaine AK47 Batch 92% pure TOP - NEW BATCH,['Cocaine']
10 G Heroin | Fent Free | No Bullshit only the best!,['Heroin']
Methylenedioxy-Methamphetamine MDMA,['MDMA']
